Topic,Count,Name,Representation,Representative_Docs
-1,8348,-1_immigration_it_of_and,"['immigration', 'it', 'of', 'and', 'immigrants', 'you', 'that', 'on', 'like', 'the']","[""speaking of what's going on down south, south as in the southern border, the immigration situation right now is about to get out of control with illegal migrants already crossing at very high numbers. Let's just put this all into context before we get into what's being done today and going forward about it."", ""So starting at zero, I'm not saying that your position is laughable the way the $20 offer is, but that would probably be too extreme, I think, for it to be effective based on the political realities of where we are. But in principle, in turn, I think you're right in that there's going to be, we've taken in so many immigrants in recent years and the assimilation process needs time to work and we don't even, we don't know what the jobs of the future are going to be. I mean, part of this is that even if we had an efficient government, which we don't, that was good at gauging who can contribute to the economy and who can't, which we don't, that that's going to be very different in five or 10 years and the skills that we need and are looking for will be different in five or 10 years."", ""Way in which we can distinguish ourselves in an extraordinary field of candidates The president has trained our focus on the US -Mexico border in an attempt to try to scare us about Mexicans whom he described as rapists and criminals about caravans that are coming to get us about asylum seekers He's described them as an infestation. He's described them as animals I think it's only when you use language like that that you get kids in cages Yeah That you are able to deport their moms back to the countries from which they fled that you end up separating families and creating this kind of Cruelty that seems so un -American and yet is happening in this country right now And I'll tell you having lived there raising our three kids there I think I'm able to tell a really powerful and I hope compelling story about immigration being such a positive For this country not only the right thing to do not just morally just but but in our own self -interest Economically or from the perspective of safety and security El Paso, Texas is one of the safest cities in the US today and it's because we are a city of immigrants and asylum seekers and refugees from the world over who were called to us and Are making us better by their very presence and then I'll say this""]"
0,4641,0_biden_joe_president_administration,"['biden', 'joe', 'president', 'administration', 'border', 'executive', 'he', 'under', 'his', 'policies']","[""We have an immigration crisis because of Joe Biden. He doesn't need a bill to secure the border."", 'of Joe Biden and the far left on this issue of immigration.', ""that we're making this up. There are migrants who show up and they say, I'm here because of Joe Biden. Right.""]"
1,2519,1_democrats_republicans_party_democrat,"['democrats', 'republicans', 'party', 'democrat', 'democratic', 'republican', 'want', 'issue', 'think', 'they']","[""They're not just Democrats, they're the left wing of the Democrat Party. So an illegal immigration."", 'Democrats want illegal immigration.', 'have all Democrats on immigration and even some Republicans']"
2,2106,2_she_her_was_woman,"['she', 'her', 'was', 'woman', 'said', 'wants', 'on', 'daughter', 'like', 'about']","[""Well, we have many opportunities while she was in Congress to address the border security and immigration policy. I mean, we need immigration reform, absolutely. But she's she what would she run on if she actually addressed it during her time in Congress?"", ""Right. I mean, I didn't even ask her this because it's the only thing she's been asked for the last two weeks since she announced, which is like, you know, she used to be further to the right on immigration, on guns. She has said she's sorry."", ""I mean, she's an immigrant""]"
3,1971,3_asylum_seekers_seeker_claim,"['asylum', 'seekers', 'seeker', 'claim', 'process', 'legitimate', 'claims', 'seeking', 'system', 'apply']","['asylum seekers.', 'asylum seekers', ""They're not asylum seekers. They're not asylum seekers. They're not asylum seekers.""]"
4,1898,4_he_his_him_about,"['he', 'his', 'him', 'about', 'immigration', 'kind', 'was', 'things', 'on', 'talking']","[""But in the past, we've seen he thinks that stuff is too boring and he'd rather go for stuff that either centers around his personal grievances, whether it's the election or his court cases or something else, or he would like to talk about issues that he thinks are more interesting. And I think immigration certainly is going to be at the center of this election more than any that we've seen previously. And that's something he loves to talk about."", ""You may not like it, but that's what he promised he would do. He said he would get tough on immigration. He did."", ""I want to push him on some of the issues. I want to ask him, you know, where he he was excellent on immigration when I heard him at the border, too. So all I can go on is what the guy is saying now, what he's telling us he believes and would push for.""]"
5,1355,5_harris_kamala_vice_she,"['harris', 'kamala', 'vice', 'she', 'her', 'president', 'root', 'causes', 'campaign', 'czar']","[""We came here because of Kamala Harris's policies. Kamala Harris didn't tear down her wall and let those migrants into her home. Kamala Harris, of course, said,"", 'Kamala Harris talked about immigration.', ""Democrats say Harris and Biden say it. They don't want illegal immigration. Don't come, Kamala Harris says.""]"
6,1128,6_gaza_israel_palestinian_hamas,"['gaza', 'israel', 'palestinian', 'hamas', 'palestinians', 'israeli', 'camp', 'egypt', 'refugee', 'refugees']","[""this palestinian population this is something that members of the netanyahu coalition have wanted for quite some time and have been openly advocating for really for years so it shouldn't be any surprise that this is the goal that the goal is complete ethnic cleansing of the gaza strip and there were reports about how pressure is being put on egypt to use their considerable debt load to try to pressure them into this there were also reports that there's pressure being put on the u .s. to take in palestinian refugees as well but you know to me it's very clear what the goal is the only question is whether they'll really be able to accomplish this goal but i just think it's important to keep in mind you know where we already are in this conflict which is for gaza city was incredibly densely you know this is where the majority of the population of gaza lived and it's gone i mean 45 of all homes within all of the gaza strip not just in gaza city have already been damaged or destroyed the people who the millions who have been displaced from their homes like there's nothing for them to go back to in gaza city that's already where we are so um you know are they degrading the new hamas capabilities i don't know we haven't really seen much"", ""The death toll from Israel's raid on a refugee camp in Gaza is now nearing 300. On Saturday, the IDF launched one of its bloodiest raids since the start of the war at the Nusayrat refugee camp in central Gaza. Israeli forces rescued four hostages taken by Hamas on October 7th, but killed at least 274 Palestinians and injured more than 400, according to the Ministry of Health in Gaza."", 'How are there refugees in Gaza? What is going on?']"
7,1241,7_crime_crimes_commit_committed,"['crime', 'crimes', 'commit', 'committed', 'born', 'native', 'violent', 'committing', 'rate', 'likely']","['immigration, crime.', 'the crime, the illegal immigration.', 'Immigrants commit crime. Undocumented immigrants commit crime. They commit crimes at far lower rates.']"
8,1101,8_vote_voting_elections_voter,"['vote', 'voting', 'elections', 'voter', 'citizens', 'register', 'election', 'rolls', 'non', 'ballot']","[""it's nothing to do with these people voting. Now many people on the right will say illegal immigrants are going to vote."", ""the illegal immigrants don't vote,"", 'If illegal immigrants vote']"
