topic,unmapped_sentence_count,name,representation,count_in_topic_info
-1,8348,-1_immigration_it_of_and,"['immigration', 'it', 'of', 'and', 'immigrants', 'you', 'that', 'on', 'like', 'the']",8348
13,964,13_talk_debate_about_ll,"['talk', 'debate', 'about', 'll', 'let', 'immigration', 'discussion', 'break', 'conversation', 'quick']",964
24,775,24_million_11_10_20,"['million', '11', '10', '20', 'illegals', 'number', 'aliens', '12', '30', 'half']",775
17,633,17_migrants_these_coming_complain,"['migrants', 'these', 'coming', 'complain', 'come', 'voluntarily', 'them', 'send', 'they', 'here']",633
26,626,26_judges_court_courts_supreme,"['judges', 'court', 'courts', 'supreme', 'cases', 'judge', 'backlog', 'case', 'justices', 'justice']",626
28,614,28_policy_purpose_policies_immigration,"['policy', 'purpose', 'policies', 'immigration', 'foreign', 'bidder', 'sale', 'interests', 'our', 'improve']",614
31,606,31_sanctuary_cities_city_jurisdictions,"['sanctuary', 'cities', 'city', 'jurisdictions', 'federal', 'york', 'enforcement', 'law', 'policies', 'chicago']",606
54,587,54_york_new_city_chicago,"['york', 'new', 'city', 'chicago', 'migrants', 'mayor', '000', '67', 'post', 'streets']",587
30,568,30_covid_pandemic_19_positive,"['covid', 'pandemic', '19', 'positive', 'virus', 'tested', 'coronavirus', 'spreading', 'disease', 'spread']",568
40,536,40_adams_eric_mayor_city,"['adams', 'eric', 'mayor', 'city', 'york', 'new', 'crisis', 'apple', 'governor', 'sanctuary']",536
32,480,32_caravan_caravans_migrant_mexico,"['caravan', 'caravans', 'migrant', 'mexico', 'midterms', '2018', 'honduras', 'heading', 'southern', 'guatemala']",480
50,421,50_crisis_southern_border_humanitarian,"['crisis', 'southern', 'border', 'humanitarian', 'manufactured', 'our', 'disaster', 'security', 'at', 'we']",421
45,410,45_hotel_hotels_rooms_city,"['hotel', 'hotels', 'rooms', 'city', 'york', 'star', 'room', 'new', 'roosevelt', 'staying']",410
36,409,36_census_counted_seats_count,"['census', 'counted', 'seats', 'count', 'congressional', 'apportionment', 'electoral', 'question', 'representation', 'seat']",409
62,377,62_california_state_californians_illegals,"['california', 'state', 'californians', 'illegals', 'population', 'enforcement', 'san', 'younger', 'aliens', 'francisco']",377
49,366,49_syrian_syria_refugees_refugee,"['syrian', 'syria', 'refugees', 'refugee', 'assad', 'syrians', 'isis', 'iraq', 'crisis', 'europe']",366
44,344,44_cuban_cuba_cubans_miami,"['cuban', 'cuba', 'cubans', 'miami', 'castro', 'florida', 'refugees', 'venezuela', 'pigs', 'tampa']",344
57,323,57_mayorkas_impeachment_secretary_alejandro,"['mayorkas', 'impeachment', 'secretary', 'alejandro', 'homeland', 'security', 'impeach', 'articles', 'house', 'dhs']",323
314,302,314_open_borders_wide_arms,"['open', 'borders', 'wide', 'arms', 'door', 'bernie', 'mass', 'why', 'sanders', 'believe']",302
154,295,154_central_america_countries_south,"['central', 'america', 'countries', 'south', 'american', 'mexico', 'triangle', 'northern', 'coming', 'from']",295
111,290,111_obama_barack_deporter_chief,"['obama', 'barack', 'deporter', 'chief', 'president', 'was', 'boehner', 'administration', 'reform', 'remember']",290
96,288,96_guatemala_honduras_salvador_el,"['guatemala', 'honduras', 'salvador', 'el', 'guatemalan', 'honduran', 'countries', 'triangle', 'mexico', 'nicaragua']",288
190,287,190_amnesty_give_mass_grant,"['amnesty', 'give', 'mass', 'grant', 'want', 'millions', 'million', 'disney', 'illegal', 'illegals']",287
73,284,73_dreamers_dreamer_path_citizenship,"['dreamers', 'dreamer', 'path', 'citizenship', 'ultimate', 'embrace', '11', 'goal', 'undocumented', 'future']",284
105,283,105_aliens_illegal_alien_technically,"['aliens', 'illegal', 'alien', 'technically', 'downs', 'country', 'dates', 'objects', 'balloon', 'shoot']",283
48,283,48_vaccine_vaccinated_mandate_vaccines,"['vaccine', 'vaccinated', 'mandate', 'vaccines', 'covid', 'unvaccinated', 'mask', 'mandates', 'vaccination', 'wear']",283
76,276,76_miller_stephen_advisor_architect,"['miller', 'stephen', 'advisor', 'architect', 'senior', 'trump', 'white', 'house', 'president', 'his']",276
116,271,116_fear_mongering_credible_scared,"['fear', 'mongering', 'credible', 'scared', 'afraid', 'your', 'monger', 'fears', 'their', 'people']",271
120,266,120_climate_change_refugees_droughts,"['climate', 'change', 'refugees', 'droughts', 'weather', 'world', 'predicted', 'creating', '50', 'crisis']",266
189,265,189_migration_mass_address_boats,"['migration', 'mass', 'address', 'boats', 'irregular', 'root', 'crisis', 'causes', 'stop', 'net']",265
78,263,78_gun_guns_control_firearm,"['gun', 'guns', 'control', 'firearm', 'firearms', 'weapon', 'common', 'mantis', 'amendment', 'violence']",263
167,261,167_paso_el_texas_city,"['paso', 'el', 'texas', 'city', 'juarez', 'thousand', 'mayor', 'migrants', 'streets', 'shelters']",261
93,255,93_lying_lie_lied_lies,"['lying', 'lie', 'lied', 'lies', 'honest', 'truth', 'about', 'they', 'media', 'constantly']",255
79,248,79_podcast_episode_show_podcasts,"['podcast', 'episode', 'show', 'podcasts', 'talk', 'today', 'listen', 'host', 'dispatch', 'buck']",248
137,246,137_care_cared_cares_about,"['care', 'cared', 'cares', 'about', 'don', 'they', 'se', 'really', 'doesn', 'take']",246
85,244,85_vance_jd_tim_walz,"['vance', 'jd', 'tim', 'walz', 'debate', 'trump', 'springfield', 'wife', 'ohio', 'waltz']",244
66,232,66_she_her_refugee_refugees,"['she', 'her', 'refugee', 'refugees', 'camp', 'israel', 'syrian', 'muslim', 'medal', 'boats']",232
175,226,175_communities_community_immigrant_hordes,"['communities', 'community', 'immigrant', 'hordes', 'local', 'dropped', 'overwhelmed', 'black', 'sisters', 'whose']",226
91,226,91_want_they_don_secure,"['want', 'they', 'don', 'secure', 'pretend', 'stop', 'stay', 'forever', 'occur', 'security']",226
305,223,305_undocumented_unchecked_enforceable_visitor,"['undocumented', 'unchecked', 'enforceable', 'visitor', 'quadrupled', 'arrivals', 'murphy', 'immigrants', 'undetected', 'chris']",223
156,223,156_special_visa_visas_holders,"['special', 'visa', 'visas', 'holders', 'immigrant', 'siv', 'translators', 'sivs', 'embassy', 'interpreters']",223
308,216,308_wrong_simple_plain_nothing,"['wrong', 'simple', 'plain', 'nothing', 'think', 'right', 'gone', 'than', 'way', 'don']",216
71,213,71_terrorism_violence_muslim_riots,"['terrorism', 'violence', 'muslim', 'riots', 'terror', 'attack', 'attacks', 'algerian', 'domestic', 'man']",213
136,204,136_cities_angeles_los_chicago,"['cities', 'angeles', 'los', 'chicago', 'city', 'york', 'bussed', 'dc', 'major', 'new']",204
109,203,109_trans_lgbtq_lgbt_rights,"['trans', 'lgbtq', 'lgbt', 'rights', 'transgender', 'women', 'gay', 'community', 'whether', 'queer']",203
261,202,261_illegals_160_oh_except,"['illegals', '160', 'oh', 'except', 'begs', 'everywhere', 'coming', 'western', 'wade', 'hold']",202
182,201,182_blue_red_states_cities,"['blue', 'red', 'states', 'cities', 'governors', 'state', 'collar', 'california', 'places', 'texas']",201
242,192,242_shut_shutdown_down_shutting,"['shut', 'shutdown', 'down', 'shutting', 'government', 'border', 'authority', 'deal', 'day', 'president']",192
238,191,238_status_regardless_papers_their,"['status', 'regardless', 'papers', 'their', 'mixed', 'quasi', 'protected', 'legal', 'refugee', 'process']",191
132,190,132_muslim_muslims_islamic_islam,"['muslim', 'muslims', 'islamic', 'islam', 'europe', 'countries', 'mosque', 'radical', 'predominantly', 'refugees']",190
257,186,257_concerned_worried_concern_about,"['concerned', 'worried', 'concern', 'about', 'concerns', 'worry', 'documenting', 'optimistic', 're', 'quite']",186
164,180,164_driver_licenses_license_minnesota,"['driver', 'licenses', 'license', 'minnesota', 'tuition', 'state', 'dmv', 'obtain', 'drivers', 'governor']",180
146,175,146_clay_buck_sexton_travis,"['clay', 'buck', 'sexton', 'travis', 'welcome', 'hour', 'show', 'gonna', 'bucks', 'pillow']",175
126,172,126_app_cbp_phone_mobile,"['app', 'cbp', 'phone', 'mobile', 'apply', 'cell', 'patriot', 'appointment', 'entry', 'ports']",172
179,171,179_media_mainstream_blah_social,"['media', 'mainstream', 'blah', 'social', 'ground', 'shows', 'haste', 'journalists', 'news', 'prestige']",171
347,169,347_men_women_immigrants_illegal,"['men', 'women', 'immigrants', 'illegal', 'color', 'disproportionately', 'divides', 'mostly', 'teacher', 'struggles']",169
295,168,295_hundred_thousand_month_000,"['hundred', 'thousand', 'month', '000', 'fifty', '500', 'day', 'per', 'seventy', 'five']",168
